superkingdom,phylum,class,order,family,genus,species,year,status,reference
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,marcescens,1823,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,1835,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,ventriculi,1842,established,"Bortolotti, Perrine, et al. ""Clostridium ventriculi bacteremia following acute colonic pseudo-obstruction: a case report."" Anaerobe 59 (2019): 32-34."
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,buccalis,1853,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,cholerae,1854,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,anthracis,1872,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Micrococcus,luteus,1872,established,"Seifert, Harald, Matthias Kaltheuner, and Francoise Perdreau-Remington. ""Micrococcus luteus endocarditis: case report and review of the literature."" Zentralblatt für Bakteriologie 282.4 (1995): 431-435."
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa,1872,established,Taylor et al
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,recurrentis,1874,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,bovis,1877,putative,"Mansouri, Parvin, et al. ""Primary cutaneous actinomycosis caused by Actinomyces bovis in a patient with common variable immunodeficiency."" The Journal of dermatology 38.9 (2011): 911-915."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,mesenteroides,1878,established,"Bou, Germán, et al. ""Nosocomial outbreaks caused by Leuconostoc mesenteroides subsp. mesenteroides."" Emerging infectious diseases 14.6 (2008): 968."
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,violaceum,1880,established,Taylor et al
